Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,5.3,6.6,1.1,1026.3,81,0.51,5,4.6,7.2,-,o,,,
2,5.3,5.7,4.8,1025.5,95,2.03,1.8,7.2,7.2,-,o,,,o
3,3.3,5.4,0.8,1031.3,89,7.11,5.1,11.9,14.4,-,o,,,
4,1.6,4.2,-0.1,1034.2,73,0,15,10.2,14.4,-,o,,,
5,2.1,5.6,-0.2,1029.4,75,0,14,4.6,7.2,-,,,,
6,3.1,7.1,-0.7,1029.2,75,5.08,8.2,9.3,14.4,-,o,o,,
7,0.6,1.2,-1,1033.1,88,1.52,6.9,8.7,14.4,-,,o,,
8,1.1,4.2,-1.9,1031.1,70,0,12.1,1.5,3.5,-,,,,
9,2.1,4.9,-1.6,1028.2,76,0,6.9,5.2,10.7,-,,,,
10,3.4,7.7,-1.5,1023.2,54,0,10.8,5.2,7.2,-,,,,
11,4.9,9.8,0.1,1022.9,65,0,8.9,6.7,14.4,-,,,,
12,2.7,6.9,-2,1029.1,55,0,12.4,6.7,10.7,-,,,,
13,0.8,6.3,-3.6,1032.8,51,0,11.3,6.7,18,-,,,,
14,0,4.7,-3.4,1030.9,-,0,14.5,5.4,10.7,-,,,,
15,4.5,10.6,-3.1,1023.7,59,0,12.2,5.2,14.4,-,,,,
16,6.4,12.1,-0.4,1023.6,60,0,8.7,8.3,10.7,-,,,,
17,5.7,7.7,2.9,1024,87,0,10.8,11.9,21.7,-,,,,
18,7.6,13.3,4.4,1022.8,80,0,10,5.7,10.7,-,,,,
19,5.4,11.5,0.8,1025.7,78,0,6.9,10.7,14.4,-,,,,
20,4.4,9.6,-0.2,1024.7,69,0,7.1,12.6,14.4,-,,,,
21,9.1,14.1,0.5,1018.1,74,0,6.9,5.9,7.2,-,o,,,
22,6,9.2,4.3,1024.1,91,1.52,7.4,9.8,14.4,-,o,,,
23,2.2,5.2,0.3,1027.6,90,8.13,9.2,12.4,18,-,o,o,,
24,0.6,2.3,-1.2,1033,83,0.25,8.9,5.7,10.7,-,,o,,
25,1.9,6.3,-2.1,1029.1,79,0,10,5.7,7.2,-,,,,
26,4.9,9.1,-1.8,1025.1,80,0,9.5,7.2,14.4,-,,,,
27,1.6,5.2,-1.8,1033.4,79,0,4.5,11.3,14.4,-,,,,
28,1.2,4.4,-2.7,1031.8,65,0,14.2,6.7,10.7,-,,,,
29,1.1,6.6,-4,1033.9,65,0,11.7,9.3,18,-,,,,
30,-0.9,3.7,-5,1031.9,55,0,15.8,5.7,10.7,-,,,,
31,5.4,11.5,-4.4,1022.2,55,0,16.3,4.1,7.2,-,,,,
